dataset_size,epoch,train_loss,train_rmse,val_loss,val_rmse
400,29,0.073432,0.26966,0.079588,0.28131
400,30,0.075472,0.27369,0.098603,0.31354
400,31,0.077074,0.27647,0.065372,0.25449
400,32,0.067905,0.25926,0.055568,0.23508
400,33,0.063362,0.24979,0.052871,0.22915
400,34,0.059721,0.24297,0.079147,0.28083
400,35,0.058954,0.24174,0.061009,0.24644
400,36,0.070894,0.26363,0.064401,0.25322
400,37,0.057371,0.23828,0.053901,0.23149
400,38,0.059977,0.24333,0.050335,0.22335
400,39,0.058827,0.24043,0.057836,0.23942
400,40,0.063129,0.24833,0.099934,0.31567
400,41,0.067141,0.2565,0.05393,0.23151
400,42,0.059971,0.24229,0.046121,0.21361
400,43,0.065244,0.25175,0.057274,0.23812
400,44,0.051372,0.22474,0.040818,0.20128
400,45,0.058073,0.23819,0.047028,0.21604
400,46,0.048285,0.21799,0.043824,0.20884
400,47,0.054114,0.23159,0.048651,0.21986
400,48,0.052465,0.22625,0.048392,0.21951
400,49,0.051754,0.22649,0.056796,0.23737
400,50,0.048537,0.2187,0.044465,0.21043
400,51,0.053397,0.22876,0.071412,0.26581
400,52,0.052885,0.22785,0.043208,0.2069
400,53,0.058309,0.23764,0.070227,0.26443
400,54,0.0479,0.21738,0.039357,0.19763
400,55,0.04659,0.21365,0.040473,0.20024
400,56,0.042663,0.20518,0.037392,0.19292
400,57,0.04635,0.21269,0.048591,0.22
400,58,0.052743,0.22721,0.093532,0.30473
400,59,0.062146,0.24452,0.040639,0.20081
400,60,0.053769,0.22734,0.047259,0.21658
500,1,0.98728,0.99335,0.99004,0.9946
500,2,0.84498,0.91867,0.75358,0.86808
500,3,0.72661,0.85232,0.70144,0.83749
500,4,0.69396,0.83297,0.67236,0.81994
500,5,0.59485,0.76958,0.47182,0.68616
500,6,0.31611,0.55864,0.24737,0.4957
500,7,0.19389,0.43782,0.16079,0.3992
500,8,0.14573,0.38044,0.16846,0.40794
500,9,0.13651,0.36752,0.13207,0.36153
500,10,0.12202,0.34676,0.16767,0.40718
500,11,0.10963,0.32935,0.10694,0.3254
500,12,0.10128,0.31698,0.11347,0.33546
500,13,0.10594,0.32375,0.1521,0.38818
500,14,0.10992,0.32922,0.09863,0.31261
500,15,0.096248,0.30883,0.11493,0.33751
500,16,0.086758,0.29344,0.088905,0.29693
500,17,0.08157,0.28406,0.10993,0.33001
500,18,0.07875,0.27879,0.071694,0.26608
500,19,0.0807,0.28178,0.080169,0.2822
500,20,0.080044,0.28154,0.081035,0.28382
500,21,0.069768,0.26176,0.12828,0.35699
500,22,0.091399,0.29744,0.07618,0.27436
500,23,0.068188,0.25781,0.059859,0.24327
500,24,0.067323,0.25668,0.083974,0.28864
500,25,0.07441,0.26871,0.063126,0.24966
500,26,0.063125,0.25034,0.063313,0.24986
500,27,0.054729,0.2332,0.06621,0.25487
500,28,0.054216,0.23094,0.091263,0.30078
500,29,0.070768,0.26391,0.073659,0.2699
500,30,0.075506,0.26974,0.059817,0.24326
500,31,0.057032,0.23754,0.051661,0.22603
500,32,0.071373,0.26425,0.10385,0.32086
500,33,0.056131,0.23569,0.057312,0.23801
500,34,0.055272,0.23313,0.054229,0.23154
500,35,0.052102,0.22675,0.055999,0.2356
500,36,0.056261,0.23564,0.049212,0.22051
500,37,0.066728,0.25475,0.10866,0.32717
500,38,0.048348,0.21794,0.059748,0.24282
500,39,0.048912,0.21893,0.050589,0.2229
500,40,0.048111,0.21664,0.045228,0.2113
500,41,0.049771,0.22074,0.041054,0.20123
500,42,0.054052,0.22775,0.064182,0.25111
500,43,0.050587,0.22228,0.070514,0.26456
500,44,0.056683,0.23603,0.04511,0.21122
500,45,0.043866,0.20662,0.057276,0.23652
500,46,0.040697,0.19982,0.034753,0.18529
500,47,0.053062,0.22499,0.060791,0.24383
500,48,0.05236,0.22632,0.037573,0.19217
500,49,0.040834,0.20036,0.040707,0.20089
500,50,0.039614,0.19716,0.032763,0.17991
500,51,0.045677,0.20916,0.038984,0.19588
500,52,0.03625,0.18892,0.03255,0.17909
500,53,0.035355,0.18636,0.055274,0.23247
500,54,0.041134,0.20014,0.075024,0.2719
500,55,0.047748,0.21531,0.065499,0.25355
500,56,0.046867,0.21209,0.032139,0.17813
500,57,0.062525,0.24183,0.044725,0.20947
500,58,0.035229,0.18668,0.032203,0.17828
500,59,0.035045,0.18565,0.031363,0.17629
500,60,0.035194,0.18585,0.030831,0.17456
